City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,teluk nibung,3.001,99.8164,304.04,62,86,1.77,ID,1699076381
265,segou,13.4317,-6.2157,297.36,17,2,2.43,ML,1699076381
266,argayash,55.4888,60.8767,274.64,76,24,6.74,RU,1699076381
267,mersing,2.4312,103.8405,305.1,70,40,2.57,MY,1699076381
268,kavaratti,10.5669,72.642,301.9,68,95,1.93,IN,1699076529
269,sinabang,2.4803,96.3801,301.04,76,92,2.37,ID,1699076529
270,bubaque,11.2833,-15.8333,301.03,80,3,4.99,GW,1699076529
271,port douglas,-16.4833,145.4667,299.27,69,64,4.16,AU,1699076529
272,owando,-0.4819,15.8999,295.95,95,90,1.39,CG,1699076382
273,kristiansund,63.1115,7.732,282.51,53,20,5.66,NO,1699076530
274,taltal,-25.4,-70.4833,287.73,84,31,1.51,CL,1699076382
275,grums,59.3466,13.1091,276.43,100,100,3.09,SE,1699076383
276,ishikawa,26.4233,127.8214,302.33,57,20,5.14,JP,1699076383
277,prince albert,53.2001,-105.7677,272.12,86,100,0.0,CA,1699076383
278,bihar sharif,25.1833,85.5167,303.03,42,1,2.3,IN,1699076383
279,minas de marcona,-15.2119,-75.1103,286.31,85,19,3.6,PE,1699076384
280,darnah,32.767,22.6367,297.92,35,0,10.57,LY,1699076384
281,gantang,26.92,119.6333,300.59,61,73,1.14,CN,1699076384
282,barcelos,41.5388,-8.6151,292.23,96,100,10.05,PT,1699076532
283,vanimo,-2.6741,141.3028,301.14,83,100,1.45,PG,1699076384
284,palikir - national government center,6.9248,158.1611,302.56,74,100,2.06,FM,1699076385
285,paso de los toros,-32.8167,-56.5167,281.43,96,47,5.37,UY,1699076385
286,kaspiysk,42.8816,47.6392,290.38,77,100,6.0,RU,1699076385
287,korla,41.7597,86.1469,286.23,28,6,8.06,CN,1699076385
288,labasa,-16.4167,179.3833,299.92,81,56,4.23,FJ,1699076385
289,ortaca,36.8294,28.7708,289.04,100,20,3.09,TR,1699076386
290,masterton,-40.9597,175.6575,288.85,71,30,3.15,NZ,1699076386
291,mpanda,-6.3655,31.0409,295.68,76,72,1.56,TZ,1699076386
292,nabire,-3.3667,135.4833,300.24,81,100,1.45,ID,1699076387
293,rikaze,29.25,88.8833,280.53,19,53,3.1,CN,1699076387
294,noumea,-22.2763,166.4572,299.82,99,37,8.0,NC,1699076100
295,kungur,57.4368,56.9593,270.54,77,68,2.68,RU,1699076387
296,contramaestre,20.2978,-76.2414,295.73,92,15,1.21,CU,1699076387
297,manismata,-2.4667,111.0333,302.54,79,83,1.94,ID,1699076535
298,enewetak,11.3474,162.3373,301.42,75,92,6.71,MH,1699076388
299,trairi,-3.2778,-39.2689,298.67,84,36,3.18,BR,1699076386
300,protaras,35.0125,34.0583,294.81,89,8,3.24,CY,1699076388
301,port alfred,-33.5906,26.891,291.58,85,40,2.68,ZA,1699076388
302,nagua,19.3832,-69.8474,297.48,90,73,3.48,DO,1699076389
303,tateyama,34.9833,139.8667,295.99,67,21,6.76,JP,1699076389
304,babahoyo,-1.8167,-79.5167,296.35,84,93,1.8,EC,1699076389
305,saipan,15.1355,145.701,303.54,70,40,6.17,MP,1699076389
306,burao,9.5221,45.5336,297.45,64,30,4.0,SO,1699076389
307,bocaiuva,-17.1078,-43.815,295.02,86,72,1.0,BR,1699076390
308,shira,54.4911,89.9531,265.59,80,86,2.31,RU,1699076390
309,batouri,4.4333,14.3667,294.04,97,94,1.16,CM,1699076390
310,nema,57.5067,50.5011,271.34,74,62,1.42,RU,1699076390
311,kon tum,14.35,108.0,304.81,48,28,0.76,VN,1699076390
312,vallenar,-28.5708,-70.7581,289.33,41,0,1.52,CL,1699076391
313,anloga,5.7947,0.8973,300.03,85,100,6.14,GH,1699076391
314,ola,59.5833,151.2833,274.34,86,100,9.42,RU,1699076391
315,haiku-pauwela,20.9219,-156.3051,296.58,88,75,8.23,US,1699076391
316,tual,-5.6667,132.75,301.04,76,97,4.4,ID,1699076539
317,colonia,50.9333,6.95,282.92,82,20,5.14,DE,1699076539
318,antsiranana,-12.2787,49.2917,301.57,69,40,3.09,MG,1699076392
319,diego de almagro,-26.3667,-70.05,288.29,37,0,0.39,CL,1699076392
320,bamboo flat,11.7,92.7167,303.2,79,40,3.09,IN,1699076392
321,alesund,62.4723,6.1549,285.66,46,0,5.14,NO,1699076540
322,praia da vitoria,38.7333,-27.0667,289.68,67,75,11.47,PT,1699076393
323,upata,8.0086,-62.3989,295.06,98,47,1.33,VE,1699076393
324,tangalle,6.024,80.7911,303.24,71,89,2.21,LK,1699076393
325,la passe,45.5549,-0.8967,286.47,88,100,13.47,FR,1699076541
326,arraial do cabo,-22.9661,-42.0278,297.15,91,86,2.67,BR,1699076333
327,roscommon,53.6333,-8.1833,279.33,97,100,3.93,IE,1699076394
328,luderitz,-26.6481,15.1594,290.98,63,6,4.53,NA,1699076542
329,kudahuvadhoo,2.6708,72.8944,300.73,80,100,5.42,MV,1699076542
330,at taj,24.2049,23.2857,293.39,32,0,2.66,LY,1699076542
331,north battleford,52.7834,-108.2847,273.2,86,100,2.57,CA,1699076395
332,dingwall,57.5953,-4.4272,279.2,98,56,0.56,GB,1699076395
333,yelizovo,53.1873,158.3805,278.04,100,75,3.13,RU,1699076395
334,grantsville,40.5999,-112.4644,285.12,65,0,3.6,US,1699076395
